Source:  results/ragas_evaluation/ragas_eval_concise_20260411_210513.json
Output:  results/ragas_evaluation/ragas_eval_concise_20260411_210513.ctxprec_patched.json
Configs: ['human_rag', 'web_rag']
Sleep:   2.0s between samples
Test set: 100 questions

=== human_rag ===
  [human_rag   1/100] 1.000
  [human_rag   2/100] 0.833
  [human_rag   3/100] 1.000
  [human_rag   4/100] 0.000
  [human_rag   5/100] 0.000
  [human_rag   6/100] 0.583
  [human_rag   7/100] 1.000
  [human_rag   8/100] 1.000
  [human_rag   9/100] 0.000
  [human_rag  10/100] 1.000
  [human_rag  11/100] 0.833
  [human_rag  12/100] 1.000
  [human_rag  13/100] 1.000
  [human_rag  14/100] 1.000
  [human_rag  15/100] 0.833
  [human_rag  16/100] 1.000
  [human_rag  17/100] 1.000
  [human_rag  18/100] 0.000
  [human_rag  19/100] 1.000
  [human_rag  20/100] 1.000
  [human_rag  21/100] 0.000
  [human_rag  22/100] 1.000
  [human_rag  23/100] 0.583
  [human_rag  24/100] 1.000
  [human_rag  25/100] 1.000
  [human_rag  26/100] 0.583
  [human_rag  27/100] 0.500
  [human_rag  28/100] 1.000
  [human_rag  29/100] 1.000
  [human_rag  30/100] 1.000
  [human_rag  31/100] 1.000
  [human_rag  32/100] 1.000
  [human_rag  33/100] 0.500
  [human_rag  34/100] 1.000
  [human_rag  35/100] 0.000
  [human_rag  36/100] 0.000
  [human_rag  37/100] 0.000
  [human_rag  38/100] 0.333
  [human_rag  39/100] 1.000
  [human_rag  40/100] 1.000
  [human_rag  41/100] 1.000
  [human_rag  42/100] 1.000
  [human_rag  43/100] 0.583
  [human_rag  44/100] 1.000
  [human_rag  45/100] 1.000
  [human_rag  46/100] 1.000
  [human_rag  47/100] 1.000
  [human_rag  48/100] 0.000
  [human_rag  49/100] 0.000
  [human_rag  50/100] 1.000
  [human_rag  51/100] 1.000
  [human_rag  52/100] 0.000
  [human_rag  53/100] 1.000
  [human_rag  54/100] 0.000
  [human_rag  55/100] 0.000
  [human_rag  56/100] 0.833
  [human_rag  57/100] 0.000
  [human_rag  58/100] 0.583
  [human_rag  59/100] 1.000
  [human_rag  60/100] 1.000
  [human_rag  61/100] 1.000
  [human_rag  62/100] 1.000
  [human_rag  63/100] 0.583
  [human_rag  64/100] 0.500
  [human_rag  65/100] 0.000
  [human_rag  66/100] 0.333
  [human_rag  67/100] 0.000
  [human_rag  68/100] 0.833
  [human_rag  69/100] 1.000
  [human_rag  70/100] 1.000
  [human_rag  71/100] 1.000
  [human_rag  72/100] 1.000
  [human_rag  73/100] 0.000
  [human_rag  74/100] 1.000
  [human_rag  75/100] 0.000
  [human_rag  76/100] 0.000
  [human_rag  77/100] 1.000
  [human_rag  78/100] 0.000
  [human_rag  79/100] 0.000
  [human_rag  80/100] 0.333
  [human_rag  81/100] 1.000
  [human_rag  82/100] 1.000
  [human_rag  83/100] 0.000
  [human_rag  84/100] 1.000
  [human_rag  85/100] 0.500
  [human_rag  86/100] 0.000
  [human_rag  87/100] 0.000
  [human_rag  88/100] 0.000
  [human_rag  89/100] 1.000
  [human_rag  90/100] 1.000
  [human_rag  91/100] 1.000
  [human_rag  92/100] 1.000
  [human_rag  93/100] 1.000
  [human_rag  94/100] 0.833
  [human_rag  95/100] 0.500
  [human_rag  96/100] 0.000
  [human_rag  97/100] 1.000
  [human_rag  98/100] 1.000
  [human_rag  99/100] 0.000
  [human_rag 100/100] 1.000
  -> mean=0.650 sd=0.433 valid=100/100 nan=0 time=678s

=== web_rag ===
  [web_rag   1/100] 1.000
  [web_rag   2/100] 1.000
  [web_rag   3/100] 0.000
  [web_rag   4/100] 0.000
  [web_rag   5/100] 0.583
  [web_rag   6/100] 1.000
  [web_rag   7/100] 0.000
  [web_rag   8/100] 1.000
  [web_rag   9/100] 0.500
